ID,text,parallelism,licensor,one-start character offset,one-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,NPE-licensor category,URL,target,expected_answer_2afc,gpt_answer_2afc,correct_gpt_2afc,Gemma_LoRA_answer_2afc,correct_gemma_2afc,llama_answer_2afc,correct_llama_2afc,expected_answer_openended,gpt_answer_openended,correct_gpt_openended,recheck_gpt_openended,Gemma_LoRA_answer_openended,correct_gemma_openended,recheck_gemma_openended,llama_answer_openended,correct_llama_openended,recheck_llama_openended,is_parallel,clean_text,len_text,n_npes,npe_start,npe_end,TA,CF,n_TA,TA_start,TA_end,n_CF,CF_start,CF_end,dist_TA_ao,dist_CF_ao,is_TA_closer
13.0,"Their forebears had won the faith through brave missionaries, so had his!",Clausal or VP Coordination,his,,,forebears,,,missionaries,,,1.0,0.0,non-local,local,det,http://www.cin.org/books/dunney11.html,his,A,A,1.0,A,1.0,A,1.0,FOREBEARS,HIS FOREBEARS,0.0,True,faith,0.0,False,The faith,0.0,False,parallel,"Their forebears had won the faith through brave missionaries, so had his!",73,1,69,71,forebears,missionaries,1,5,14,1,47,59,64,22,0
14.0,"As the others have mentioned a Kong wobbler is a great device to stimulate them, my border collie loves his!",non-parallel,his,,,device,,,Kong wobbler,,,0.0,1.0,local,non-local,det,http://pets.ca/forum/showthread.php?s=f0da5699205eb484d04e6ea45fe3736b&t=76405,his,B,B,1.0,B,1.0,A,0.0,KONG WOBBLER,BORDER COLLIE,0.0,False,Kong wobbler,1.0,True,Border Collie,0.0,False,non-parallel,"As the others have mentioned a Kong wobbler is a great device to stimulate them, my border collie loves his!",108,1,104,106,Kong wobbler,device,1,30,42,1,54,60,74,50,0
15.0,What a puny recognition was a simple ribbon for heroism such as his!,Subset,his,,,heroism,,,ribbon,,,1.0,0.0,local,non-local,det,http://wtj.com/archives/rickenbacker/rick32.htm,his,A,A,1.0,A,1.0,A,1.0,HEROISM,HEROISM,1.0,True,heroism,1.0,True,Heroism,1.0,True,parallel,What a puny recognition was a simple ribbon for heroism such as his!,68,1,64,66,heroism,ribbon,1,47,54,1,36,42,17,28,1
16.0,"The American jurist Benjamin Cardozo defined it as follows: ""Justice, to which law in its making should conform, is a concept by far more subtle and indefinite than any that is wielded by mere obedience to a rule.",Subset,any,,,law,,,concept,,,0.0,1.0,non-local,local,det,http://www.tolfa.us/L6.htm,any,B,B,1.0,B,1.0,A,0.0,CONCEPT,RULE,0.0,False,concept,1.0,True,Justice,0.0,False,parallel,"The American jurist Benjamin Cardozo defined it as follows: ""Justice, to which law in its making should conform, is a concept by far more subtle and indefinite than any that is wielded by mere obedience to a rule.",213,1,165,167,concept,law,1,117,124,1,78,81,48,87,1
17.0,"Yet peer-reviewed studies of whether weighted blankets in particular can lower anxiety in humans have yielded mixed results, Lilly points out, and she doesn't know of any that have examined them in dogs.",Clausal or VP Coordination,any,,,studies,,,results,,,1.0,0.0,non-local,local,det,https://www.mic.com/life/do-weighted-blankets-help-dogs-anxiety-22844280,any,A,A,1.0,A,1.0,A,1.0,STUDIES,STUDIES,1.0,True,studies,1.0,True,studies,1.0,True,parallel,"Yet peer-reviewed studies of whether weighted blankets in particular can lower anxiety in humans have yielded mixed results, Lilly points out, and she doesn't know of any that have examined them in dogs.",203,1,167,169,studies,results,1,17,24,1,115,122,150,52,0
18.0,"While adventure tourism trips from Europe to Africa and South America is almost extinct, there are still some adventure travellers (but not many!) going to Asia, because Asia is generally considered to be a safer destination.",Contrasting,many,,,trips,,,travellers,,,0.0,1.0,non-local,local,det,https://www.cbi.eu/market-information/tourism/adventure-tourism/adventure-tourism/market-potential,many,B,B,1.0,B,1.0,A,0.0,TRAVELLERS,ADVENTURE TRAVELLERS,0.0,True,adventure travellers,0.0,True,Adventure travellers,0.0,True,parallel,"While adventure tourism trips from Europe to Africa and South America is almost extinct, there are still some adventure travellers (but not many!) going to Asia, because Asia is generally considered to be a safer destination.",225,1,140,143,travellers,trips,1,119,129,1,23,28,21,117,1
19.0,"If you stumble upon a deal that has PMI insurance, you may want to move on to a property that doesn't have any!",Contrasting,any,,,property,,,insurance,,,0.0,1.0,local,non-local,det,http://www.jgage.com/SS%20Tip.htm,any,B,B,1.0,A,0.0,A,0.0,INSURANCE,PMI INSURANCE,0.0,True,property,0.0,False,PMI insurance,0.0,True,parallel,"If you stumble upon a deal that has PMI insurance, you may want to move on to a property that doesn't have any!",111,1,107,109,insurance,property,1,39,48,1,79,87,68,28,0
20.0,"By blending these visions, WPI created a new approach to higher education unlike any that had come before–one that combined theory with practice.",Subset,any,,,education,,,approach,,,0.0,1.0,local,non-local,det,http://www.dvdmg.com/ducksoup.shtml,any,B,B,1.0,B,1.0,A,0.0,APPROACH,APPROACH TO HIGHER EDUCATION,0.0,True,approach,1.0,True,higher education,0.0,False,parallel,"By blending these visions, WPI created a new approach to higher education unlike any that had come before–one that combined theory with practice.",145,1,81,83,approach,education,1,44,52,1,63,72,37,18,0
21.0,Ending these practices produced plant communities far different from any that have ever been seen in pre-Columbian times.,Subset,any,,,plant communities,,,practices,,,1.0,0.0,local,non-local,det,http://www.ti.org/sa28.html,any,A,A,1.0,A,1.0,A,1.0,PLANT COMMUNITIES,PLANT COMMUNITIES,1.0,True,plant communities,1.0,True,pre-Columbian times,0.0,False,parallel,Ending these practices produced plant communities far different from any that have ever been seen in pre-Columbian times.,121,1,69,71,plant communities,practices,1,31,48,1,12,21,38,57,1
22.0,"When I came out of prison- for some one interfered, and paid that tax- I did not perceive that great changes had taken place on the common, such as he observed who went in a youth and emerged a tottering and gray-headed man; and yet a change had to my eyes come over the scene- the town, and State, and country- greater than any that mere time could effect.",Subset,any,,,country,,,change,,,0.0,1.0,local,non-local,det,http://www.ti.org/civildisobedience.html,any,B,B,1.0,B,1.0,A,0.0,CHANGE,TIME,0.0,False,changes,0.0,True,Time,0.0,False,parallel,"When I came out of prison- for some one interfered, and paid that tax- I did not perceive that great changes had taken place on the common, such as he observed who went in a youth and emerged a tottering and gray-headed man; and yet a change had to my eyes come over the scene- the town, and State, and country- greater than any that mere time could effect.",357,1,325,327,change,country,2,234,240,1,302,309,91,23,0
23.0,"It provides 44 recommendations to industry, federal, state, and local regulators and governments to reduce the likelihood of future leaks and minimize the impacts of any that occur.",Clausal or VP Coordination,any,,,leaks,,,impacts,,,1.0,0.0,non-local,local,det,https://prnc.org/aliso-canyon-updates,any,A,A,1.0,A,1.0,A,1.0,LEAKS,LEAKS,1.0,True,leaks,1.0,True,future leaks,0.0,True,parallel,"It provides 44 recommendations to industry, federal, state, and local regulators and governments to reduce the likelihood of future leaks and minimize the impacts of any that occur.",181,1,166,168,leaks,impacts,1,131,136,1,154,161,35,12,0
24.0,Look around in the car park for leaflets advertising forthcoming events and take any that look interesting. ,Clausal or VP Coordination,any,,,events,,,leaflets,,,0.0,1.0,local,non-local,det,http://www.mvoc.org/Novice%20guide.htm,any,B,B,1.0,B,1.0,A,0.0,LEAFLETS,LEAFLETS,1.0,True,leaflets,1.0,True,leaflets,1.0,True,parallel,Look around in the car park for leaflets advertising forthcoming events and take any that look interesting. ,108,1,81,83,leaflets,events,1,31,39,1,64,70,50,17,0
25.0,"As moving and apt an encapsulation of the free inquiry that lay at the heart of American higher education as any that 's ever been written, and one that as of today is under serious threat by the machination of the Trump administration. ",Subset,any,,,encapsulation,,,education,,,1.0,0.0,non-local,local,det,http://hnn.us/article/171563,any,A,A,1.0,A,1.0,A,1.0,ENCAPSULATION,ENCAPSULATION,1.0,True,encapsulation,1.0,True,The sentence,0.0,False,parallel,"As moving and apt an encapsulation of the free inquiry that lay at the heart of American higher education as any that 's ever been written, and one that as of today is under serious threat by the machination of the Trump administration. ",237,1,109,111,encapsulation,education,1,20,33,1,95,104,89,14,0
26.0,"But the discovery of Tutankhamun's tomb unleashed a tidal wave of Egyptomania unlike any that had gone before, whipped up by photographs of the treasures making their way back to news desks.",Subset,any,,,discovery (of Tutankhamun's tomb),,,tidal wave (of Egyptomania),,,0.0,1.0,non-local,local,det,http://hnn.us/article/180748,any,B,B,1.0,B,1.0,A,0.0,TIDAL WAVE (OF EGYPTOMANIA),EGYPTOMANIA,0.0,True,tidal wave,0.0,True,Egyptomania,0.0,False,parallel,"But the discovery of Tutankhamun's tomb unleashed a tidal wave of Egyptomania unlike any that had gone before, whipped up by photographs of the treasures making their way back to news desks.",190,1,85,87,tidal wave (of Egyptomania),discovery (of Tutankhamun's tomb),0,52,76,0,8,38,33,77,1
27.0,"Limbaugh shuddered melodramatically at a speech that could ""lead to racial strife unlike any that we who are alive today remember.""",Subset,any,,,racial strife,,,speech,,,1.0,0.0,local,non-local,det,http://hnn.us/article/159486,any,A,A,1.0,A,1.0,A,1.0,RACIAL STRIFE,STRIFE,0.0,True,strife,0.0,True,We,0.0,False,parallel,"Limbaugh shuddered melodramatically at a speech that could ""lead to racial strife unlike any that we who are alive today remember.""",131,1,89,91,racial strife,speech,1,67,80,1,40,46,22,49,1
28.0,I've looked around for remnants of the coal mines but wasn't able to find any that were accessible.,Clausal or VP Coordination,any,,,coal mines,,,remnants,,,0.0,1.0,local,non-local,det,http://eofp.net/endor.html,any,B,B,1.0,B,1.0,A,0.0,REMNANTS,REMNANTS OF THE COAL MINES,0.0,True,remnants,1.0,True,remnants of the coal mines,0.0,True,parallel,I've looked around for remnants of the coal mines but wasn't able to find any that were accessible.,99,1,74,76,remnants,coal mines,1,22,30,1,38,48,52,36,0
29.0,"So, Merrick, Beverlie and the rest of you collectors of great songs - do you know any that sound like a match?",non-parallel,any,,,songs,,,collectors,,,1.0,0.0,local,non-local,det,http://www.mgl.ca/~jhcole/apr04.html,any,A,A,1.0,A,1.0,A,1.0,SONGS,SONGS,1.0,True,songs,1.0,True,collectors of great songs,0.0,False,non-parallel,"So, Merrick, Beverlie and the rest of you collectors of great songs - do you know any that sound like a match?",110,1,82,84,songs,collectors,1,61,66,1,41,51,21,41,1
30.0,"This concert was by far the most work, and with the largest team, of any that we've put on.",Subset,any,,,team,,,concert,,,0.0,1.0,local,non-local,det,http://www.mgl.ca/~jhcole/apr05.html,any,B,B,1.0,B,1.0,A,0.0,CONCERT,CONCERT,1.0,True,concerts,0.0,True,previous concerts,0.0,True,parallel,"This concert was by far the most work, and with the largest team, of any that we've put on.",91,1,69,71,concert,team,1,4,11,1,59,63,65,10,0
31.0,"As far as I know, it's normal for closures to bind references to mutable variables - of the languages I'm familiar with, Scala and Javascript both do this, and I can't think of any that break the rule.",Clausal or VP Coordination,any,,,languages,,,references,,,1.0,0.0,local,non-local,det,https://qntm.org/variadic,any,A,A,1.0,A,1.0,A,1.0,LANGUAGES,LANGUAGES,1.0,True,languages,1.0,True,Languages,1.0,True,parallel,"As far as I know, it's normal for closures to bind references to mutable variables - of the languages I'm familiar with, Scala and Javascript both do this, and I can't think of any that break the rule.",201,1,177,179,languages,references,1,91,100,1,50,60,86,127,1
32.0,"Such low cost imposes certain limitation, but other than mandatory coating I can't think of any that 'd mean anything important to me.",Clausal or VP Coordination,any,,,coating,,,limitation,,,0.0,1.0,local,non-local,det,http://zknives.com/knives/fixed/srkw/srkwtc.shtml,any,B,B,1.0,B,1.0,A,0.0,LIMITATION,LIMITATIONS,0.0,True,limitations,0.0,True,limitations,0.0,True,parallel,"Such low cost imposes certain limitation, but other than mandatory coating I can't think of any that 'd mean anything important to me.",134,2,92,94,limitation,coating,1,29,39,1,66,73,63,26,0
33.0,"Throughout my life, friends, this one little line has proven to be one of the most important lines of any that I know.",Subset,any,,,lines,,,friends,,,1.0,0.0,local,non-local,det,http://www.yhwh.com/ctte.htm,any,A,A,1.0,A,1.0,A,1.0,LINES,LINES,1.0,True,lines,1.0,True,lines,1.0,True,parallel,"Throughout my life, friends, this one little line has proven to be one of the most important lines of any that I know.",118,1,102,104,lines,friends,1,92,97,1,19,26,10,83,1
34.0,AI creates opportunities for brands and expectations from consumers that are unlike any that brands have previously experienced in the modern advertising age. ,Subset,any,,,consumers,,,expectations,,,0.0,1.0,local,non-local,det,https://www.pr.com/press-release/734457,any,B,B,1.0,B,1.0,A,0.0,EXPECTATIONS,OPPORTUNITIES,0.0,True,opportunities,0.0,True,previous,0.0,False,parallel,AI creates opportunities for brands and expectations from consumers that are unlike any that brands have previously experienced in the modern advertising age. ,159,1,84,86,expectations,consumers,1,39,51,1,57,66,45,27,0
35.0,"In the twentieth century, BANA and/or its progenitors have made several fundamental changes to the Braille system, all of them more noticeable and far-reaching than any that we envision as a result of switching to a uniform Braille code. ",Subset,any,,,changes,,,progenitors,,,1.0,0.0,local,non-local,det,http://www.iceb.org/cranem.html,any,A,A,1.0,A,1.0,A,1.0,CHANGES,CHANGES,1.0,True,changes,1.0,True,Switching to a uniform Braille code,0.0,False,parallel,"In the twentieth century, BANA and/or its progenitors have made several fundamental changes to the Braille system, all of them more noticeable and far-reaching than any that we envision as a result of switching to a uniform Braille code. ",238,1,165,167,changes,progenitors,1,83,90,1,41,52,82,124,1
36.0,But in reality the challenges of engineering financial systems are quite different from any that engineering has previously addressed.,Subset,any,,,systems ,,,challenges,,,0.0,1.0,local,non-local,det,https://www.nae.edu/244925/Engineering-Financial-Markets,any,B,B,1.0,B,1.0,A,0.0,CHALLENGES,CHALLENGES,1.0,True,challenges,1.0,True,engineering challenges,0.0,False,parallel,But in reality the challenges of engineering financial systems are quite different from any that engineering has previously addressed.,134,1,88,90,challenges,systems,1,18,28,1,54,61,70,34,0
37.0,"Alternatively, you can use an external comparison program, in which case you can also provide zero or more one per line indented entries (These arguments always follow any that are given in the [ENV] section's DIFF entry.)",Subset,any,,,arguments,,,entries,,,1.0,0.0,local,non-local,det,http://www.qtrac.eu/retest.html,any,A,A,1.0,A,1.0,A,1.0,ARGUMENTS,ARGUMENTS,1.0,True,arguments,1.0,True,DIFF entry,0.0,False,parallel,"Alternatively, you can use an external comparison program, in which case you can also provide zero or more one per line indented entries (These arguments always follow any that are given in the [ENV] section's DIFF entry.)",222,1,168,170,arguments,entries,1,143,152,1,128,135,25,40,1
38.0,"In response to a question, Mr Prada noted that the IFRS Foundation's Trustees were appointed via a rigorous process, involving various layers of vetting and review, unlike any that he had experienced before joining the IFRSF.",Subset,any,,,review,,,process,,,0.0,1.0,local,non-local,det,https://www.iasplus.com/en/meeting-notes/ifrs-ac/feb-2014,any,B,B,1.0,B,1.0,A,0.0,PROCESS,PROCESS,1.0,True,layers of vetting and review,0.0,False,IFRSF,0.0,False,parallel,"In response to a question, Mr Prada noted that the IFRS Foundation's Trustees were appointed via a rigorous process, involving various layers of vetting and review, unlike any that he had experienced before joining the IFRSF.",225,1,172,174,process,review,1,107,114,1,156,162,65,16,0
39.0,"If a shorthand is specified as one of the CSS-wide keywords [css-values-3], it sets all of its sub-properties to that keyword, including any that are reset-only sub-properties.",Subset,any,,,sub-properties,,,keywords,,,1.0,0.0,local,non-local,det,https://www.w3.org/TR/css-cascade/,any,A,A,1.0,A,1.0,A,1.0,SUB-PROPERTIES,SUB-PROPERTIES,1.0,True,reset-only sub-properties,0.0,True,sub-properties,1.0,True,parallel,"If a shorthand is specified as one of the CSS-wide keywords [css-values-3], it sets all of its sub-properties to that keyword, including any that are reset-only sub-properties.",176,1,137,139,sub-properties,keywords,1,94,108,1,50,58,43,87,1
40.0,"When multiple image objects are available, a user agent MAY use the value to decide which icon is most suitable for a display context (and ignore any that are inappropriate).",Contrasting,any,,,display context,,,image objects (icon),,,0.0,1.0,local,non-local,det,https://www.w3.org/TR/mediasession/,any,B,B,1.0,B,1.0,A,0.0,IMAGE OBJECTS (ICON),IMAGE OBJECTS,0.0,True,that are inappropriate,0.0,False,inappropriate icons,0.0,True,parallel,"When multiple image objects are available, a user agent MAY use the value to decide which icon is most suitable for a display context (and ignore any that are inappropriate).",174,1,146,148,image objects (icon),display context,0,90,93,1,117,132,56,29,0
41.0,"Saturation mutagenesis screens in multicellular organisms such as fruit flies, nematode worms and zebrafish, which produce all possible developmental mutations, have never found any that are beneficial.",Contrasting,any,,,mutations,,,organisms ,,,1.0,0.0,local,non-local,det,http://www.nmsr.org/jonwells.htm,any,A,A,1.0,A,1.0,A,1.0,MUTATIONS,DEVELOPMENTAL MUTATIONS,0.0,True,mutations,1.0,True,beneficial mutations,0.0,True,parallel,"Saturation mutagenesis screens in multicellular organisms such as fruit flies, nematode worms and zebrafish, which produce all possible developmental mutations, have never found any that are beneficial.",202,1,178,180,mutations,organisms,1,149,158,1,47,56,29,131,1
42.0,"C also provides the methods defined for A and B objects, in addition to any that may be defined specifically for C objects.",Subset,any,,,objects,,,methods,,,0.0,1.0,local,non-local,det,https://www.w3.org/TR/WD-HTTP-NG-interfaces/,any,B,B,1.0,B,1.0,A,0.0,METHODS,METHODS,1.0,True,methods,1.0,True,Methods defined for A and B objects,0.0,False,parallel,"C also provides the methods defined for A and B objects, in addition to any that may be defined specifically for C objects.",123,1,72,74,methods,objects,1,19,26,1,47,54,53,25,0
43.0,"He would feel how the peaches espaliered on the south wall held to their stalks, and carefully pick any that were ripe. ",non-parallel,any,,,peaches,,,stalks,,,1.0,0.0,non-local,local,det,https://tnq.ca/story/the-house-on-manor-close/,any,A,A,1.0,A,1.0,A,1.0,PEACHES,PEACHES,1.0,True,peaches,1.0,True,ripe peaches,0.0,True,non-parallel,"He would feel how the peaches espaliered on the south wall held to their stalks, and carefully pick any that were ripe. ",120,1,100,102,peaches,stalks,1,21,28,1,72,78,79,28,0
44.0,Health officials argued that the company should be ordered to destroy meat found to contain traces of the bacteria and take back any that had already been sold.,Clausal or VP Coordination,any,,,bacteria,,,meat,,,0.0,1.0,local,non-local,det,https://www.dw.com/en/bavarian-court-rules-manufacturer-cannot-sell-salmonella-laden-shish-kebab/a-47437071,any,B,B,1.0,B,1.0,A,0.0,MEAT,MEAT,1.0,True,meat,1.0,True,meat,1.0,True,parallel,Health officials argued that the company should be ordered to destroy meat found to contain traces of the bacteria and take back any that had already been sold.,160,1,129,131,meat,bacteria,1,69,73,1,105,113,60,24,0
45.0,"Bush certainly put the best spin possible on the intelligence that he had that pointed in the direction that he wanted to go in, and downplayed any that didn't.",Contrasting,any,,,intelligence,,,direction,,,1.0,0.0,non-local,local,det,https://www.w3.org/TR/2004/WD-emma-20041214/,any,A,A,1.0,A,1.0,A,1.0,INTELLIGENCE,INTELLIGENCE,1.0,True,intelligence,1.0,True,intelligence,1.0,True,parallel,"Bush certainly put the best spin possible on the intelligence that he had that pointed in the direction that he wanted to go in, and downplayed any that didn't.",160,1,144,146,intelligence,direction,1,48,60,1,93,102,96,51,0
46.0,It is because such creatures act with a lucidity that is considered to exceed in an unimaginable degree any that we might summon that a single choice suffered to settle their eternal status.,non-parallel,any,,,degree,,, lucidity,,,0.0,1.0,local,non-local,det,https://www3.nd.edu/~maritain/jmc/etext/taq02.htm,any,B,A,0.0,A,0.0,A,0.0,LUCIDITY,CHOICES,0.0,False,that we might summon,0.0,False,We,0.0,False,non-parallel,It is because such creatures act with a lucidity that is considered to exceed in an unimaginable degree any that we might summon that a single choice suffered to settle their eternal status.,190,1,104,106,lucidity,degree,1,39,47,1,96,102,65,8,0
47.0,"There is in St. Paul's definite, soul-stirring assertion of the wrath of God and the reality of the judgment at hand, a truth more profound than any that underlies our somewhat enfeebled ideas of universal benevolence and the determined progress of the race.",Subset,any,,,truth,,,judgment,,,1.0,0.0,local,non-local,det,http://www.cqod.com/cqod9711.htm,any,A,A,1.0,A,1.0,A,1.0,TRUTH,IDEAS,0.0,False,ideas,0.0,False,ideas,0.0,False,parallel,"There is in St. Paul's definite, soul-stirring assertion of the wrath of God and the reality of the judgment at hand, a truth more profound than any that underlies our somewhat enfeebled ideas of universal benevolence and the determined progress of the race.",258,1,145,147,truth,judgment,1,119,124,1,99,107,26,46,1
48.0,The CEO currently takes the lead in regulatory representation for the benefit of the members; the aim to ensure that regulation affecting microlight flying is reduced as much as possible and that any that remains is proportionate to the activity.,Clausal or VP Coordination,any,,,representation,,,regulation,,,0.0,1.0,non-local,local,det,https://www.bmaa.org/staff-rob-hughes,any,B,B,1.0,B,1.0,A,0.0,REGULATION,REGULATION,1.0,True,regulation,1.0,True,Regulation,1.0,True,parallel,The CEO currently takes the lead in regulatory representation for the benefit of the members; the aim to ensure that regulation affecting microlight flying is reduced as much as possible and that any that remains is proportionate to the activity.,246,1,196,198,regulation,representation,1,116,126,1,46,60,80,150,1
