text_id,text,target,expected_answer,Gemma_LoRA_answer,correct
wsc-145,"Mary tucked her daughter Anne into bed, so that  [target]  could work.",[target],Mary,Mary,True
wsc-146,"Mary tucked her daughter Anne into bed, so that  [target]  could sleep.",[target],Mary's daughter,Anne,False
wsc-147,"Fred and Alice had very warm down coats, but  [target]  were not prepared for the cold in Alaska.",[target],Fred and Alice,Fred and Alice,True
wsc-148,"Fred and Alice had very warm down coats, but  [target]  were not enough for the cold in Alaska.",[target],coats,coats,True
wsc-149,Thomson visited Cooper's grave in 1765. At that date  [target]  had been travelling for five years.,[target],Thomson,Thomson,True
wsc-150,Thomson visited Cooper's grave in 1765. At that date  [target]  had been dead for five years.,[target],Cooper,Cooper,True
wsc-151,"Jackson was greatly influenced by Arnold, though  [target]  lived two centuries later.",[target],Jackson,Jackson,True
wsc-152,"Jackson was greatly influenced by Arnold, though  [target]  lived two centuries earlier.",[target],Arnold,Arnold,True
wsc-153,I can't cut that tree down with that axe;  [target]  is too thick.,[target],The tree,tree,False
wsc-154,I can't cut that tree down with that axe;  [target]  is too small.,[target],The axe,axe,False
wsc-155,The foxes are getting in at night and attacking the chickens. I shall have to kill  [target] .,[target],The foxes,foxes,False
wsc-156,The foxes are getting in at night and attacking the chickens. I shall have to guard  [target] .,[target],The chickens,chickens,False
wsc-157,The foxes are getting in at night and attacking the chickens.  [target]  have gotten very bold.,[target],The foxes,foxes,False
wsc-158,The foxes are getting in at night and attacking the chickens.  [target]  have gotten very nervous.,[target],The chickens,chickens,False
wsc-159,"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened  [target]  when the wind stopped.",[target],His eyes,hands,False
wsc-160,"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered  [target]  when the wind stopped.",[target],His hands,hands,False
wsc-161,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured  [target]  was too hard to pronounce.",[target],Terpsichore,Terpsichore,True
wsc-162,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured  [target]  was easier to pronounce.",[target],Tina,Terpsichore,False
wsc-163,Fred watched TV while George went out to buy groceries. After an hour  [target]  got up.,[target],Fred,Fred,True
wsc-164,Fred watched TV while George went out to buy groceries. After an hour  [target]  got back.,[target],George,George,True
wsc-165,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned  [target]  on.",[target],The dishwasher,dishwasher,False
wsc-166,"Fred was supposed to run the dishwasher, but he put it off,  because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned  [target]  off.",[target],The TV,dishwasher,False
wsc-167,Fred is the only man still alive who remembers my great-grandfather.  [target]  is a remarkable man.,[target],Fred,Fred,True
wsc-168,Fred is the only man still alive who remembers my great-grandfather.  [target]  was a remarkable man.,[target],My great-grandfather,Fred,False
wsc-169,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,  [target]  was twelve years old.",[target],Fred,Fred,True
wsc-170,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,  [target]  was twelve months old.",[target],My father,my father,True
wsc-171,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,  [target]  were defeated within weeks.",[target],Kamchatka,Kamtchatka,False
wsc-172,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,  [target]  were victorious within weeks.",[target],Yakutsk,Yakutsk,True
wsc-173,Look! There is a minnow swimming right below that duck!  [target]  had better get away to safety fast!,[target],The minnow,minnow,False
wsc-174,Look! There is a shark swimming right below that duck!  [target]  had better get away to safety fast!,[target],The duck,duck,False
wsc-175,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.  [target]  hunted for evidence on the river banks.",[target],Archaeologists,Archaeologists,True
wsc-176,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.  [target]  hunted for deer on the river banks.",[target],Prehistoric humans,humans,False
wsc-177,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.  [target]  began two years ago.,[target],The scientists,The scientists,True
wsc-178,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.  [target]  appeared two years ago.,[target],The fish,species of fish,False
wsc-179,"The journalists interviewed the stars of the new movie.  [target]  were very persistent, so the interview lasted for a long time.",[target],The journalists,journalists,False
wsc-180,"The journalists interviewed the stars of the new movie.  [target]  were very cooperative, so the interview lasted for a long time.",[target],The stars,stars,False
wsc-181,The police arrested all of the gang members.  [target]  were trying to stop the drug trade in the neighborhood.,[target],The police,gang members,False
wsc-182,The police arrested all of the gang members.  [target]  were trying to run the drug trade in the neighborhood.,[target],The gang members,gang members,False
wsc-183,I put the cake away in the refrigerator.  [target]  has a lot of butter in it.,[target],The cake,cake,False
wsc-184,I put the cake away in the refrigerator.  [target]  has a lot of leftovers in it.,[target],The refrigerator,refrigerator,False
wsc-185,Sam broke both his ankles and he's walking with crutches. But a month or so from now  [target]  should be better.,[target],The ankles,his ankles,False
wsc-186,Sam broke both his ankles and he's walking with crutches. But a month or so from now  [target]  should be unnecessary.,[target],The crutches,crutches,False
wsc-187,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.  [target]  were very much in the minority.",[target],The sponsors,sponsors,False
wsc-188,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.  [target]  were very much in the majority.",[target],The opponents,opponents,False
wsc-189,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of  [target] .",[target],The oatmeal cookies,oatmeal cookies,False
wsc-190,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of  [target] .",[target],The chocolate chip cookies,chocolate chip cookies,False
wsc-191,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of  [target] .",[target],copies of the newsletter,copies of our newsletter,False
wsc-192,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of  [target] .",[target],chairs,chairs,True
wsc-193,"I stuck a pin through a carrot. When I pulled the pin out,  [target]  left a hole.",[target],The pin,pin,False
wsc-194,"I stuck a pin through a carrot. When I pulled the pin out,  [target]  had a hole.",[target],The carrot,carrot,False
wsc-195,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because  [target]  got full of coffee.",[target],The pen,pen,False
wsc-196,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because  [target]  got full of ink.",[target],The coffee,coffee,False
wsc-197,Steve follows Fred's example in everything.  [target]  admires him hugely.,[target],Steve,Steve,True
wsc-198,Steve follows Fred's example in everything.  [target]  influences him hugely.,[target],Fred,Fred's example,False
wsc-199,The table won't fit through the doorway because  [target]  is too wide.,[target],The table,table,False
wsc-200,The table won't fit through the doorway because  [target]  is too narrow.,[target],The doorway,doorway,False
wsc-201,Grace was happy to trade me her sweater for my jacket. She thinks  [target]  looks dowdy on her.,[target],The sweater,her sweater,False
wsc-202,Grace was happy to trade me her sweater for my jacket. She thinks  [target]  looks great on her.,[target],The jacket,jacket,False
wsc-203,John hired Bill to take care of  [target] .,[target],John,the target,False
wsc-204,John hired himself out to Bill to take care of  [target] .,[target],Bill,Bill,True
wsc-205,"John promised Bill to leave, so an hour later  [target]  left.",[target],John,John,True
wsc-206,"John ordered Bill to leave, so an hour later  [target]  left.",[target],Bill,Bill,True
wsc-207,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties  [target]  faced in his research.,[target],Goodman,Xenophanes,False
wsc-208,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties  [target]  faced in his childhood.,[target],Xenophanes,Xenophanes,True
wsc-209,"Emma's mother had died long ago, and  [target]  education had been managed by an excellent woman as governess.",[target],Emma,Emma's,False
wsc-210,"Emma's mother had died long ago, and  [target]  place had been taken by an excellent woman as governess.",[target],Emma's mother,place,False
wsc-211,Jane knocked on Susan's door but  [target]  did not get an answer.,[target],Jane,Jane,True
wsc-212,Jane knocked on Susan's door but  [target]  did not answer.,[target],Susan,Susan,True
wsc-213,Joe paid the detective after  [target]  received the final report on the case.,[target],Joe,Joe,True
wsc-214,Joe paid the detective after  [target]  delivered the final report on the case.,[target],the detective,the detective,True
wsc-215,"Beth didn't get angry with Sally, who had cut her off, because  [target]  stopped and counted to ten.",[target],Beth,Beth,True
wsc-216,"Beth didn't get angry with Sally, who had cut her off, because  [target]  stopped and apologized.",[target],Sally,Sally,True
wsc-217,Jim signaled the barman and gestured toward  [target]  empty glass,[target],Jim,Jim's,False
wsc-218,Jim signaled the barman and gestured toward  [target]  bathroom key.,[target],The barman,bathroom,False
wsc-219,"Dan took the rear seat while Bill claimed the front because  [target]  ""Dibs!"" was slow.",[target],Dan,Bill,False
wsc-220,"Dan took the rear seat while Bill claimed the front because  [target]  ""Dibs!"" was quicker.",[target],Bill,Bill,True
wsc-221,"Tom said ""Check"" to Ralph as he moved  [target]  bishop.",[target],Tom,bishop,False
wsc-222,"Tom said ""Check"" to Ralph as he took  [target]  bishop.",[target],Ralph,bishop,False
wsc-223,"As Andrea in the crop duster passed over Susan,  [target]  could see the landing strip.",[target],Andrea,Andrea,True
wsc-224,"As Andrea in the crop duster passed over Susan,  [target]  could see the landing gear.",[target],Susan,Andrea,False
wsc-225,Tom gave Ralph a lift to school so  [target]  wouldn't have to drive alone.,[target],Tom,Ralph,False
wsc-226,Tom gave Ralph a lift to school so  [target]  wouldn't have to walk.,[target],Ralph,Ralph,True
wsc-227,Bill passed the half-empty plate to John because  [target]  was full.,[target],Bill,plate,False
wsc-228,Bill passed the half-empty plate to John because  [target]  was hungry.,[target],John,John,True
wsc-229,Bill passed the gameboy to John because  [target]  turn was over.,[target],Bill,John's,False
wsc-230,Bill passed the gameboy to John because  [target]  turn was next.,[target],John,John's,False
wsc-231,The man lifted the boy onto  [target]  shoulders.,[target],The man,man's,False
wsc-232,The man lifted the boy onto  [target]  bunk bed.,[target],The boy,the,False
wsc-233,"Stretching  [target]  back, the woman smiled at the girl.",[target],The woman,woman,False
wsc-234,"Patting  [target]  back, the woman smiled at the girl.",[target],The girl,girl,False
wsc-235,Billy cried because Toby wouldn't accept  [target]  toy.,[target],Billy,Toby's,False
wsc-236,Billy cried because Toby wouldn't share  [target]  toy.,[target],Toby,Toby's,False
wsc-237,"Lily spoke to Donna, breaking  [target]  silence.",[target],Lily,their,False
wsc-238,"Lily spoke to Donna, breaking  [target]  concentration.",[target],Donna,Donna,True
wsc-239,"When Tommy dropped his ice cream, Timmy giggled, so father gave  [target]  a sympathetic look.",[target],Tommy,Tommy,True
wsc-240,"When Tommy dropped his ice cream, Timmy giggled, so father gave  [target]  a stern look.",[target],Timmy,Tommy,False
wsc-241,"As Ollie carried Tommy up the long winding steps,  [target]  legs ached.",[target],Ollie,Ollie's,False
wsc-242,"As Ollie carried Tommy up the long winding steps,  [target]  legs dangled.",[target],Tommy,Ollie's,False
wsc-243,The father carried the sleeping boy in  [target]  arms,[target],The father,father's,False
wsc-244,The father carried the sleeping boy in  [target]  bassinet.,[target],The boy,bassinet,False
wsc-245,The woman held the girl against  [target] chest,[target],The woman,woman's,False
wsc-246,The woman held the girl against  [target]  will.,[target],The girl,girl's,False
wsc-247,"Pam's parents came home and found her having sex with her boyfriend, Paul.  [target]  were furious about it.",[target],Pam's parents,Pam's parents,True
wsc-248,"Pam's parents came home and found her having sex with her boyfriend, Paul.  [target]  were embarrassed about it.",[target],Pam and Paul,Pam's parents,False
wsc-249,Dr. Adams informed Kate that  [target]  had retired and presented several options for future treatment.,[target],Dr. Adams,Dr. Adams,True
wsc-250,Dr. Adams informed Kate that  [target]  had cancer and presented several options for future treatment.,[target],Kate,Kate,True
wsc-251,Dan had to stop Bill from toying with the injured bird.  [target]  is very compassionate.,[target],Dan,Dan,True
wsc-252,Dan had to stop Bill from toying with the injured bird.  [target]  is very cruel.,[target],Bill,Bill,True
wsc-253,"George got free tickets to the play, but he gave them to Eric, even though  [target]  was particularly eager to see it.",[target],George,George,True
wsc-254,"George got free tickets to the play, but he gave them to Eric, because  [target]  was particularly eager to see it.",[target],Eric,Eric,True
wsc-255,"George got free tickets to the play, but he gave them to Eric, because  [target]  was not particularly eager to see it.",[target],George,George,True
wsc-256,Jane gave Joan candy because  [target]  wasn't hungry.,[target],Jane,Joan,False
wsc-257,Jane gave Joan candy because  [target]  was hungry.,[target],Joan,Joan,True
